IDregistro,Fecha,Edad,Sexo,Turno,Area,Clasificación del accidente,Accidentes,DiasPerdidos,HorasHombre
1,2025-01-01,58,F,Vespertino,Administración,Incapacitante,1,13,160
2,2025-01-02,48,M,Vespertino,Mantenimiento,Leve,1,2,160
3,2025-01-03,34,M,Matutino,Seguridad,Ninguno,0,0,160
4,2025-01-04,27,M,Vespertino,Administración,Ninguno,0,0,160
5,2025-01-05,40,M,Vespertino,Seguridad,Incapacitante,1,13,160
6,2025-01-06,58,M,Vespertino,Producción,Ninguno,0,0,160
7,2025-01-07,38,M,Vespertino,Mantenimiento,Ninguno,0,0,160
8,2025-01-08,42,F,Matutino,Producción,Parcial Permanente,1,29,160
9,2025-01-09,30,M,Matutino,Producción,Ninguno,0,0,160
10,2025-01-10,30,F,Nocturno,Producción,Ninguno,0,0,160
11,2025-01-11,43,M,Vespertino,Producción,Ninguno,0,0,160
12,2025-01-12,55,F,Nocturno,Mantenimiento,Incapacitante,1,11,160
13,2025-01-13,59,M,Matutino,Producción,Incapacitante,1,8,160
14,2025-01-14,43,M,Matutino,Mantenimiento,Incapacitante,1,9,160
15,2025-01-15,22,M,Matutino,Mantenimiento,Ninguno,0,0,160
16,2025-01-16,41,M,Matutino,Seguridad,Ninguno,0,0,160
17,2025-01-17,21,F,Matutino,Administración,Incapacitante,1,5,160
18,2025-01-18,43,M,Matutino,Administración,Leve,1,2,160
19,2025-01-19,49,M,Matutino,Mantenimiento,Leve,1,1,160
20,2025-01-20,57,M,Vespertino,Seguridad,Leve,1,3,160
21,2025-01-21,21,M,Nocturno,Mantenimiento,Ninguno,0,0,160
22,2025-01-22,40,F,Matutino,Mantenimiento,Ninguno,0,0,160
23,2025-01-23,52,F,Vespertino,Mantenimiento,Ninguno,0,0,160
24,2025-01-24,31,F,Vespertino,Seguridad,Leve,1,1,160
25,2025-01-25,41,M,Nocturno,Administración,Ninguno,0,0,160
26,2025-01-26,44,M,Matutino,Seguridad,Ninguno,0,0,160
27,2025-01-27,46,F,Nocturno,Producción,Ninguno,0,0,160
28,2025-01-28,47,M,Matutino,Seguridad,Leve,1,2,160
29,2025-01-29,35,F,Vespertino,Seguridad,Ninguno,0,0,160
30,2025-01-30,34,F,Vespertino,Seguridad,Ninguno,0,0,160
31,2025-01-31,22,F,Vespertino,Seguridad,Incapacitante,1,12,160
32,2025-02-01,56,M,Vespertino,Administración,Ninguno,0,0,160
33,2025-02-02,26,M,Nocturno,Producción,Ninguno,0,0,160
34,2025-02-03,40,F,Matutino,Administración,Ninguno,0,0,160
35,2025-02-04,28,M,Matutino,Administración,Ninguno,0,0,160
36,2025-02-05,58,M,Nocturno,Seguridad,Ninguno,0,0,160
37,2025-02-06,37,M,Matutino,Mantenimiento,Ninguno,0,0,160
38,2025-02-07,23,F,Vespertino,Mantenimiento,Ninguno,0,0,160
39,2025-02-08,44,M,Matutino,Administración,Parcial Permanente,1,28,160
40,2025-02-09,33,M,Vespertino,Administración,Ninguno,0,0,160
41,2025-02-10,28,M,Nocturno,Seguridad,Leve,1,2,160
